date,best_mc_wealth_wealth,best_mc_wealth_daily_return
2025-01-03 05:00:00,1.0059915078720323,0.0059915078720322165
2025-01-06 05:00:00,1.0068266400575465,0.0008301582856109933
2025-01-07 05:00:00,1.0034710444115416,-0.0033328435229058864
2025-01-08 05:00:00,1.0012413004723524,-0.002222031170313313
2025-01-10 05:00:00,1.000668501139126,-0.0005720891986337653
2025-01-13 05:00:00,1.000315780694299,-0.0003524848083310141
2025-01-14 05:00:00,1.0030542592846663,0.0027376141046847446
2025-01-15 05:00:00,1.0192623439450081,0.01615873170400647
2025-01-16 05:00:00,1.0203483935255762,0.0010655250701840182
2025-01-17 05:00:00,1.0211839275817194,0.000818871339872613
2025-01-21 05:00:00,1.0316077749219192,0.010207610067742361
2025-01-22 05:00:00,1.0295406350604255,-0.0020038040733554824
2025-01-23 05:00:00,1.0302874037293286,0.0007253416169039784
2025-01-24 05:00:00,1.0321057229948758,0.0017648660548167635
2025-01-27 05:00:00,1.0267338758227473,-0.005204745068694078
2025-01-28 05:00:00,1.0318729345360482,0.005005249007862806
2025-01-29 05:00:00,1.0260148301370668,-0.005677156753428496
2025-01-30 05:00:00,1.0359654140733214,0.009698284706981593
2025-01-31 05:00:00,1.0331069777581439,-0.0027592005257572523
2025-02-03 05:00:00,1.0284773847991475,-0.004481232881654236
2025-02-04 05:00:00,1.0353376475057352,0.006670309729685872
2025-02-05 05:00:00,1.041788267727687,0.006230450749562137
2025-02-06 05:00:00,1.0411735098218775,-0.0005900987032139307
2025-02-07 05:00:00,1.0363334064944956,-0.004648700030996767
2025-02-10 05:00:00,1.0433696620902169,0.0067895674805293
2025-02-11 05:00:00,1.0457310867793124,0.0022632675406382557
2025-02-12 05:00:00,1.0418178918851935,-0.0037420661426169196
2025-02-13 05:00:00,1.051357861635603,0.009157041575804152
2025-02-14 05:00:00,1.0506138383277244,-0.000707678455669794
2025-02-18 05:00:00,1.0570993441910879,0.006173063428982354
2025-02-19 05:00:00,1.0576116300699865,0.0004846146974869419
2025-02-20 05:00:00,1.0596579010756988,0.0019348038046601895
2025-02-21 05:00:00,1.0467801561155206,-0.012152738112088366
2025-02-24 05:00:00,1.0453230268038214,-0.0013920108278575416
2025-02-25 05:00:00,1.0476632563055734,0.002238762030247687
2025-02-26 05:00:00,1.0503866210376742,0.002599465730720007
2025-02-27 05:00:00,1.0473390381368335,-0.0029013915826821843
2025-02-28 05:00:00,1.0499385136612567,0.002481980934318655
2025-03-03 05:00:00,1.0407739249353967,-0.00872869087724197
2025-03-04 05:00:00,1.0386518390059292,-0.0020389499377582573
2025-03-05 05:00:00,1.0490839165066554,0.0100438636980709
2025-03-06 05:00:00,1.0379190431616456,-0.01064249786822355
2025-03-07 05:00:00,1.0417306706013718,0.0036723745120963405
2025-03-10 04:00:00,1.027957371730681,-0.013221554533610775
2025-03-11 04:00:00,1.0253671446049297,-0.0025197806805841764
2025-03-12 04:00:00,1.0295828569956824,0.004111417469278272
2025-03-13 04:00:00,1.0204667301876065,-0.008854194440141235
2025-03-14 04:00:00,1.031668426004462,0.010977031867365487
2025-03-17 04:00:00,1.0399762242267878,0.008052779374571942
2025-03-18 04:00:00,1.0379177256486767,-0.001979370806906286
2025-03-19 04:00:00,1.0455022904900773,0.007307481753103552
2025-03-20 04:00:00,1.044513107299097,-0.0009461320170963427
2025-03-21 04:00:00,1.0405810608261472,-0.003764477865785067
2025-03-24 04:00:00,1.053407948961919,0.012326659227862838
2025-03-25 04:00:00,1.0542222465555853,0.0007730125773863392
2025-03-26 04:00:00,1.0500756258166666,-0.003933345888371113
2025-03-27 04:00:00,1.0516709674743165,0.0015192635829531188
2025-03-28 04:00:00,1.0410983937164895,-0.01005311935463802
2025-03-31 04:00:00,1.0455899249756861,0.00431422359913833
2025-04-01 04:00:00,1.0475287093422787,0.0018542492809861544
2025-04-02 04:00:00,1.053486589936699,0.0056875582896063264
2025-04-03 04:00:00,1.0262833875562027,-0.025822068017145657
2025-04-04 04:00:00,0.9859886530685257,-0.03926277573646327
2025-04-07 04:00:00,0.9711332549121069,-0.01506650011659553
2025-04-08 04:00:00,0.9572456540527984,-0.014300407064698293
2025-04-09 04:00:00,1.0330371708678743,0.07917666326735337
2025-04-10 04:00:00,1.0107751355584984,-0.021550081581936754
2025-04-11 04:00:00,1.0272908282739484,0.016339630976700114
2025-04-14 04:00:00,1.0369991099989029,0.009450373212487803
2025-04-15 04:00:00,1.0385479763696988,0.001493604339542421
2025-04-16 04:00:00,1.034586752232134,-0.0038141946522408424
2025-04-17 04:00:00,1.0413966697808978,0.006582258601389628
2025-04-21 04:00:00,1.0312016196412093,-0.009789785617264879
2025-04-22 04:00:00,1.0456130791139076,0.013975404225715506
2025-04-23 04:00:00,1.054279134332166,0.008288013407026595
2025-04-24 04:00:00,1.0688413625034403,0.013812497750416519
2025-04-25 04:00:00,1.0727669935567574,0.0036727911091710827
2025-04-28 04:00:00,1.0734541980321477,0.0006405906217453552
2025-04-29 04:00:00,1.069327916690052,-0.0038439286461032845
2025-04-30 04:00:00,1.0626986106377534,-0.006199507137921517
2025-05-01 04:00:00,1.0697029226823822,0.006591061637339843
2025-05-02 04:00:00,1.0808787671627778,0.010447615168116918
2025-05-05 04:00:00,1.078159769596879,-0.0025155435082105295
2025-05-06 04:00:00,1.0790588207703964,0.0008338756452149453
2025-05-07 04:00:00,1.0746107618296126,-0.00412216540485537
2025-05-08 04:00:00,1.0751710533915324,0.0005213902389791486
2025-05-09 04:00:00,1.0803406056100993,0.004808120719266099
2025-05-12 04:00:00,1.0895574723568011,0.008531445267205211
2025-05-13 04:00:00,1.0981723970098713,0.007906810674645225
2025-05-14 04:00:00,1.0946209352645833,-0.0032339746973773205
2025-05-15 04:00:00,1.104469816096449,0.008997526462880108
2025-05-16 04:00:00,1.1068421171727059,0.0021479093784937393
2025-05-19 04:00:00,1.1105921185896368,0.003388018362103827
2025-05-20 04:00:00,1.1142936807298196,0.0033329627306229645
2025-05-21 04:00:00,1.1029455509545902,-0.010184146218792966
2025-05-22 04:00:00,1.1017412570306928,-0.0010918888270187352
2025-05-23 04:00:00,1.1043079709307406,0.0023296884669321387
2025-05-27 04:00:00,1.1175676543566322,0.012007233285399587
2025-05-28 04:00:00,1.1151764588627748,-0.0021396427183050576
2025-05-29 04:00:00,1.1206831662782306,0.004937969566781751
2025-05-30 04:00:00,1.1193369239555147,-0.0012012693357274973
2025-06-02 04:00:00,1.1305035479663375,0.00997610618558192
2025-06-03 04:00:00,1.1335142477568658,0.0026631493514058134
2025-06-04 04:00:00,1.1366517212120966,0.0027679170874468596
2025-06-05 04:00:00,1.1369734372046516,0.00028303831908326317
2025-06-06 04:00:00,1.1399470515292185,0.0026153771295464815
2025-06-09 04:00:00,1.1441116955331272,0.003653366179000966
2025-06-10 04:00:00,1.1460569128573217,0.0017001987933424078
2025-06-11 04:00:00,1.152654453556378,0.005756730425025494
2025-06-12 04:00:00,1.158889424520592,0.005409228190613905
2025-06-13 04:00:00,1.1588159532959696,-6.339795934612574e-05
2025-06-16 04:00:00,1.1570986959061977,-0.0014819069282637305
2025-06-17 04:00:00,1.164784763896061,0.006642534484790774
2025-06-18 04:00:00,1.1655478621770874,0.0006551410223413984
2025-06-20 04:00:00,1.1644625974900265,-0.0009311197954871816
2025-06-23 04:00:00,1.1740482467660345,0.00823182238456582
2025-06-24 04:00:00,1.1868166928738455,0.010875571888108048
2025-06-25 04:00:00,1.1852226132828994,-0.001343155687409531
2025-06-26 04:00:00,1.1911330945917922,0.004986811121095255
2025-06-27 04:00:00,1.188247818886753,-0.002422294971182852
2025-06-30 04:00:00,1.1945560196063463,0.005308825835256631
2025-07-01 04:00:00,1.1973024496235813,0.002299121993575484
