date,SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,GLD,USO
2025-01-02 05:00:00,0.1531117090843161,0.0,0.08815770553006631,0.0,0.0,0.10607735007899238,0.0,7.697835424647081e-17,0.6526532353066253,2.1738253558334364e-17
2025-01-03 05:00:00,0.03557197013910544,0.0,0.17462184024121757,0.0,5.648693318649478e-17,0.04695229889051353,3.859759734048396e-17,0.0,0.7428538907291636,0.0
2025-01-06 05:00:00,0.04493777457310232,1.0950441942103595e-17,0.23410705050114203,0.0,0.0,0.138059791614424,3.01950305037213e-17,5.5185890579512176e-17,0.5828953833113316,6.028164079019405e-17
2025-01-07 05:00:00,0.17172964742120425,3.63207727782644e-17,0.22055746354324132,2.0166160408230382e-17,0.0,0.011415213856470418,6.288372600415926e-18,4.553649124439119e-18,0.5962976751790839,0.0
2025-01-08 05:00:00,0.029811141972522045,5.454892180317694e-17,0.21417885014316515,0.0,0.0,0.0,0.0,0.0,0.7560100078843129,0.0
2025-01-10 05:00:00,0.0,1.5724050888928693e-16,0.20523565543290329,3.554798200306889e-17,0.0,6.485277754922516e-17,0.0,1.282725001281139e-17,0.7947643445670967,8.277717843506005e-18
2025-01-13 05:00:00,0.12953152483742894,1.3791051634015616e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.8704684751625711,2.0816681711721685e-17
2025-01-14 05:00:00,0.1804005103284671,0.0,3.729655473350135e-17,0.0,1.3444106938820255e-16,0.0,4.0766001685454967e-17,0.0,0.819599489671533,0.0
2025-01-15 05:00:00,0.16252491199070188,4.5102810375396984e-17,0.0,3.122502256758253e-17,0.0,0.0,2.5153490401663703e-17,0.0,0.8374750880092982,0.0
2025-01-16 05:00:00,0.29391469931756414,0.0,0.0,3.550762114890027e-18,6.48623949689453e-17,0.0,3.832654679736258e-17,1.7618285302889447e-17,0.6398979559585998,0.06618734472383607
2025-01-17 05:00:00,0.3384374667036168,2.7907363919776884e-16,0.0,1.2685165418080402e-16,0.0,0.0,4.466912950640278e-17,0.0,0.6615625332963833,0.0
2025-01-21 05:00:00,0.3935781023294499,0.0,5.204170427930421e-17,4.83554168928535e-17,5.659535340374333e-17,4.662069341687669e-17,0.0,0.0,0.5978396558170739,0.008582241853476173
2025-01-22 05:00:00,0.3463738648086212,7.817097663620487e-17,0.0,3.5344990823027445e-17,3.913969842672671e-17,9.540979117872439e-18,7.32920668600201e-17,0.0,0.6536261351913787,0.0
2025-01-23 05:00:00,0.37217443548505635,0.0,1.6263032587282567e-17,6.591949208711867e-17,7.567731163948821e-17,1.929879867024198e-17,5.724587470723463e-17,1.1492543028346347e-17,0.6278255645149435,0.0
2025-01-24 05:00:00,0.4899110926824258,1.1861171766991419e-16,8.239936510889834e-18,2.2768245622195593e-17,5.919743861770854e-17,5.095750210681871e-17,4.683753385137379e-17,0.0,0.5100889073175738,6.830473686658678e-17
2025-01-27 05:00:00,0.42381197006504423,1.474514954580286e-16,0.0,1.1535911115245767e-16,1.0061396160665481e-16,2.7321894746634712e-17,0.0,1.474514954580286e-17,0.5761880299349555,0.0
2025-01-28 05:00:00,0.39380566179987014,0.0,0.0,0.0,4.6674903525500966e-17,4.954803928258755e-17,0.0,0.0,0.60619433820013,0.0
2025-01-29 05:00:00,0.39537189091287706,3.968179951296946e-17,1.0104764247564901e-16,1.1709383462843448e-17,0.0,0.0,9.606031248221569e-17,4.119968255444917e-18,0.6046281090871228,0.0
2025-01-30 05:00:00,0.4342142963017048,1.2461819770548388e-15,0.0,5.681219383824043e-17,1.0473392986209973e-16,3.426078865054194e-17,6.722053469410127e-17,2.8406096919120216e-17,0.5657857036982937,4.098284211995207e-17
2025-01-31 05:00:00,0.40690380461007786,6.999609225566417e-16,4.7271214720367993e-17,1.0018028073766061e-16,0.0,6.245004513516506e-17,0.0,3.0791341698588326e-17,0.5930961953899213,0.0
2025-02-03 05:00:00,0.5036461635794613,0.0,0.0,2.4348470288593216e-16,9.80118763926896e-17,1.2555061157382141e-16,0.0,1.8512752095189988e-17,0.47946078699044914,0.016893049430089645
2025-02-04 05:00:00,0.4660147819105146,0.0,8.370040771588094e-17,0.0,0.0,1.214306433183765e-16,0.0,7.806255641895632e-18,0.5256002404616161,0.008384977627869364
2025-02-05 05:00:00,0.5428108178723776,0.0,2.0122792321330962e-16,2.0599841277224584e-18,0.0,1.734723475976807e-18,0.0,0.0,0.45718918212762233,0.0
2025-02-06 05:00:00,0.5007530824197203,0.0,7.546047120499111e-17,2.7755575615628914e-17,8.500145032286355e-17,3.903127820947816e-17,0.0,1.3877787807814457e-17,0.49924691758027984,3.209238430557093e-17
2025-02-07 05:00:00,0.5313402167442035,0.0,8.912141857830846e-17,2.9436088982981445e-17,0.0,3.0466081046842675e-17,1.9569849213363355e-17,2.8189256484623115e-17,0.46865978325579644,5.074066167232161e-17
2025-02-10 05:00:00,0.4798146006690634,0.0,3.2742905609062234e-17,1.1882855810441129e-16,1.0408340855860843e-17,0.0,4.163336342344337e-17,1.951563910473908e-18,0.5201853993309364,5.0523821237824507e-17
2025-02-11 05:00:00,0.4683653497627439,9.324138683375338e-17,0.0,0.0,1.8431436932253575e-17,0.0,0.0,2.3635607360183997e-17,0.5316346502372563,0.0
2025-02-12 05:00:00,0.5077054050249414,0.0,1.7433970933566911e-16,7.849623728795052e-17,4.575333167888829e-17,1.3227266504323154e-17,7.784571598445922e-17,6.158268339717665e-17,0.4922945949750586,0.0
2025-02-13 05:00:00,0.4474884407284939,5.306085432144059e-16,3.382710778154774e-17,4.380176776841438e-17,0.0,1.0104764247564901e-16,1.973247953923618e-17,0.0,0.5525115592715054,6.743737512859838e-17
2025-02-14 05:00:00,0.4260298087823726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5739701912176282,0.0
2025-02-18 05:00:00,0.4586814981926455,0.0,0.0,2.1467203015212988e-17,0.0,1.0950441942103595e-17,0.0,4.553649124439119e-18,0.5413185018073547,3.979021973021801e-17
2025-02-19 05:00:00,0.39329574683365187,0.0,6.396792817664476e-17,0.0,0.0,0.0,1.214306433183765e-17,4.96564594998361e-17,0.6067042531663486,1.4568966692773966e-18
2025-02-20 05:00:00,0.41917078210124825,0.0,0.0,0.0,0.0,4.5102810375396984e-17,4.336808689942018e-17,1.214306433183765e-17,0.580829217898752,1.5612511283791264e-17
2025-02-21 05:00:00,0.37858278036211485,0.0,7.979727989493313e-17,6.938893903907228e-17,1.951563910473908e-17,1.192622389734055e-16,0.0,1.5178830414797062e-17,0.6212581130653572,0.00015910657252776348
2025-02-24 05:00:00,0.2616192876157249,0.014913353710179874,4.9060148304969076e-17,0.0,0.0,1.1546753136970622e-17,0.0,0.0,0.7234673586740953,0.0
2025-02-25 05:00:00,0.24573471188235904,0.0,1.22514845490862e-17,0.0,0.0,1.5406512871019018e-16,0.0,0.0,0.7542652881176412,0.0
2025-02-26 05:00:00,0.2694196387417379,0.0,7.19910242530375e-17,0.0,0.0,7.37257477290143e-18,0.0,0.0,0.7305803612582626,0.0
2025-02-27 05:00:00,0.2662772562404345,4.369334755116583e-16,0.0,7.762887554996212e-17,0.0,4.336808689942018e-17,0.0,4.4885969940899884e-17,0.7337227437595648,3.5887091909270197e-17
2025-02-28 05:00:00,0.20590560245296358,0.0,0.0,0.0,0.0,4.4777549723651333e-17,3.0682921481339775e-17,1.2793585635328952e-17,0.7940943975470365,0.0
2025-03-03 05:00:00,0.3800772262315013,1.328147661294743e-16,1.2468324983583301e-17,0.0,0.0,0.0,7.15573433840433e-18,0.0,0.6056630203905623,0.014259753377936385
2025-03-04 05:00:00,0.2744483052684947,0.0,4.380176776841438e-17,0.0,0.0,1.8648277366750676e-17,1.0321604682062002e-16,0.0,0.7255516947315053,0.0
2025-03-05 05:00:00,0.1763110887534751,0.03447992608319588,0.0,6.635317295611287e-17,0.0,0.0,0.0,3.642919299551295e-17,0.7892089851633292,1.214306433183765e-17
2025-03-06 05:00:00,0.13872644044137947,0.1780759798581805,0.0,1.0733601507606494e-17,2.8561950981415007e-18,1.7479371899539742e-17,0.0,8.216219588366713e-18,0.6831975797004399,5.002237773304996e-17
2025-03-07 05:00:00,0.24298392793869966,0.01625095220205706,0.0,0.0,0.0,0.0,8.782037597132586e-17,0.0,0.7407651198592434,0.0
2025-03-10 04:00:00,0.10180676330523596,0.11519325627300703,0.0,2.791820594150174e-17,9.974659986866641e-18,1.713039432527097e-17,1.0462550964485118e-17,0.0,0.782999980421757,0.0
2025-03-11 04:00:00,0.024491418099813013,0.0,0.0,1.2256905559948628e-16,1.089623183347932e-17,1.769960046582586e-17,1.81603863891322e-18,0.0,0.9661682242273846,0.00934035767280228
2025-03-12 04:00:00,4.629054954236895e-18,0.0,4.16964621624053e-17,7.632783294297951e-17,0.0,0.0,0.0,9.715546582585184e-18,1.0,7.979727989493313e-17
2025-03-13 04:00:00,0.0,0.0,0.0,0.0,9.075207410466538e-18,1.3435035301137253e-17,2.9234205947232414e-17,0.0,1.0,1.6653345369377348e-16
2025-03-14 04:00:00,0.0,2.4414869126819586e-17,0.0,0.0,2.0146356205963135e-17,0.0,4.1183925149865114e-17,1.82325524375587e-17,0.9999999999999999,5.721260908383591e-17
2025-03-17 04:00:00,0.0,7.978161507786824e-17,0.0,0.0,0.0,4.8541206902641385e-17,3.42736708249577e-17,2.382585897674504e-17,1.0,0.0
2025-03-18 04:00:00,3.291406376790661e-18,2.6743579637091727e-18,0.0,2.3418766925686896e-17,0.0,7.735320106102845e-17,0.0,9.147178222583697e-18,1.0,0.0
2025-03-19 04:00:00,5.585320402779715e-17,0.0,0.0,0.0,6.498061411439243e-17,0.0,5.514392294137345e-17,3.422557671096435e-18,1.0,1.7206806079895367e-17
2025-03-20 04:00:00,1.2939740351396327e-16,0.0,0.0,4.163336342344337e-17,1.7288188046321237e-18,0.0,0.0,0.0,1.0,0.0
2025-03-21 04:00:00,5.4425357497187164e-17,0.0,6.813664277479061e-17,0.0,0.0,3.0667102549623904e-19,1.7143165777554609e-18,1.6952621120103294e-17,1.0,2.831790265244539e-17
2025-03-24 04:00:00,0.0,6.389198607520769e-18,6.669498464708828e-17,6.418476861114186e-17,0.0,2.24179143038875e-17,2.2521703517009363e-17,0.0,1.0,2.2262025160378567e-17
2025-03-25 04:00:00,2.6020852139652106e-17,0.0,0.0,0.0,1.6588293239028218e-17,1.6371452804531117e-17,0.0,0.0,1.0,0.0
2025-03-26 04:00:00,0.010594022515649337,0.0,8.294146619514109e-18,0.0,1.723881454251952e-17,5.2583805365546965e-18,3.480288973678469e-17,2.1575623232461538e-17,0.9602783095420464,0.029127667942304286
2025-03-27 04:00:00,3.510833468576701e-17,0.0,0.0,0.0,4.6039765514693546e-17,3.997880915934756e-17,1.2342023878851975e-17,0.0,0.8753563408267057,0.12464365917329422
2025-03-28 04:00:00,0.0,1.7315788154194322e-18,0.0,0.0,0.0,3.678633663540344e-18,6.144116917700305e-17,0.0,0.9421759448034901,0.05782405519651
2025-03-31 04:00:00,0.0,0.0,0.0,0.0,7.73554544893502e-18,1.559608105493213e-17,0.0,2.4888872537911018e-17,0.9653033841520017,0.034696615847998456
2025-04-01 04:00:00,0.0,0.0,7.338204045467788e-17,2.621411430345415e-17,0.0,0.0,0.0,5.541375267565444e-18,0.9313607917706952,0.06863920822930482
2025-04-02 04:00:00,0.0,0.0,1.427471953219948e-16,1.628249462196743e-16,0.0,2.1449000361912932e-17,0.0,1.1639229339621868e-17,0.9706508375733408,0.029349162426659147
2025-04-03 04:00:00,1.9199870531278784e-18,0.0,9.000673915512448e-18,0.0,2.7298488897000374e-17,8.534198587585799e-17,3.681881740290438e-17,0.0,0.9735420831696525,0.02645791683034756
2025-04-04 04:00:00,0.0,1.3600082232685268e-17,4.8768565585467975e-17,0.0,0.0,0.0,2.5219212344597887e-17,5.551115123125783e-17,1.0,0.0
2025-04-07 04:00:00,4.065099528495337e-17,2.865107262176766e-16,0.0,0.0,1.4679614015668145e-16,0.0,0.0,0.0,1.0,5.564406818191761e-17
2025-04-08 04:00:00,4.975879343623956e-17,1.11540029904192e-16,7.987698061212767e-17,1.1926341841983268e-17,0.0,0.0,8.393547019309563e-17,8.326672684688674e-17,0.9999999999999998,0.0
2025-04-09 04:00:00,1.110023767623415e-16,1.4189029070222807e-16,0.0,0.0,1.541117224086637e-16,4.035114942339887e-17,0.0,0.0,1.0,3.065997565284015e-17
2025-04-10 04:00:00,1.2299344993875833e-16,1.3555439768425482e-17,2.5110059853191387e-17,0.0,0.0,1.5470572928554138e-19,2.1448161237571928e-17,0.0,1.0,7.871535949316484e-17
2025-04-11 04:00:00,5.225888929766803e-17,0.0,0.0,0.0,0.0,1.6879065280892206e-16,0.0,1.97758476261356e-16,1.0,0.0
2025-04-14 04:00:00,0.0,0.0,3.2251617746514446e-17,3.97933805503773e-16,0.0,0.0,0.0,7.979727989493313e-17,1.0,2.3302301894477564e-17
2025-04-15 04:00:00,1.2872325552783729e-17,3.436011248820524e-17,0.0,0.0,7.165835373345442e-17,0.0,1.7257535590495423e-17,5.551115123125783e-17,1.0,7.866357678295735e-17
2025-04-16 04:00:00,9.011769181073512e-17,0.0,4.29428505766963e-17,0.0,0.0,0.0,5.693522581098162e-17,4.163336342344337e-17,1.0,1.289820390649482e-16
2025-04-17 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8449465006019636e-16,0.9999999999999999,0.0
2025-04-21 04:00:00,1.0574837466461513e-17,0.0,8.090013647180204e-17,0.0,5.4333331018660344e-17,6.68261726859446e-17,0.0,0.0,1.0,0.0
2025-04-22 04:00:00,5.05971799131961e-18,7.459380513815182e-17,1.0181457512963537e-16,0.0,0.0,4.3048801545841684e-17,0.0,0.0,1.0,0.0
2025-04-23 04:00:00,9.215937855013838e-17,0.0,0.0,0.0,1.626768871327534e-17,4.6060013732168595e-17,0.0,0.0,1.0,1.4636567856859893e-17
2025-04-24 04:00:00,0.0,2.2316462299886487e-17,0.0,5.765624132890573e-17,0.0,1.7163246801226553e-17,0.0,1.5265566588595902e-16,1.0,0.0
2025-04-25 04:00:00,0.0,3.948991687562166e-18,9.719910088536359e-17,6.142479993866332e-17,0.0,0.0,0.0,0.0,1.0,0.0
2025-04-28 04:00:00,3.5987456306070356e-17,7.410950255573798e-17,0.0,0.0,1.0513993529790572e-16,3.527013245486233e-17,0.0,0.0,1.0,8.276933758870435e-17
2025-04-29 04:00:00,0.0,0.0,1.6754146420784806e-16,0.0,4.9828169677698487e-17,7.394688592085909e-18,3.5343181786470453e-17,0.18592745157503549,0.8140725484249642,0.0
2025-04-30 04:00:00,0.0,4.648538633996076e-17,0.0,5.875881771671756e-17,3.913337412928868e-17,0.0,1.2169952314500933e-16,0.2682168124979915,0.7317831875020084,0.0
2025-05-01 04:00:00,2.98833432264754e-17,0.0,4.0384357232023396e-17,0.0,1.294331797355425e-17,2.1851364471613552e-17,0.0,0.330871433790075,0.669128566209925,5.2412942719537677e-17
2025-05-02 04:00:00,1.2967671791120684e-18,0.0,0.0,0.0,0.0,0.0,8.401105180926114e-17,0.37215045468267266,0.6278495453173275,1.770223354049892e-19
2025-05-05 04:00:00,0.0,3.941639884963099e-17,0.0,0.07615507833695702,0.0,0.0,0.0,0.04748258253414966,0.8763623391288933,1.699476378267073e-16
2025-05-06 04:00:00,0.0,3.124302068269502e-17,1.0253087836824381e-16,0.0,0.0,4.974310096429971e-17,2.391389793331972e-17,0.0,1.0,1.648867223727566e-17
2025-05-07 04:00:00,3.228234027041087e-17,1.5971400528867512e-16,0.0,1.4298184905611838e-16,8.074304826649544e-17,2.6412056680260977e-17,1.3744613258556232e-16,0.30872999243821686,0.6912700075617827,0.0
2025-05-08 04:00:00,7.198384784535682e-17,1.1585109312436622e-16,3.129713850639992e-17,0.0,0.0,3.2905357782829775e-17,0.0,0.29132562735310025,0.7086743726469,2.1388888316598775e-16
2025-05-09 04:00:00,1.0971354589302187e-17,0.0,9.567880587051836e-17,0.03467808261483182,0.0,0.0,0.0,3.060752008629102e-16,0.9653219173851679,2.6359016589148823e-18
2025-05-12 04:00:00,0.0,0.0,0.0,0.0,1.1847045452764853e-16,0.0,3.332733446520665e-17,0.10319767651039127,0.8968023234896089,1.6969116607006442e-17
2025-05-13 04:00:00,1.3377494865755367e-17,2.386838248652686e-17,0.0,0.1375500615639072,4.753150211741958e-17,0.0,1.0016453375319535e-17,0.05015338302795133,0.8122965554081415,1.282306148449791e-17
2025-05-14 04:00:00,0.0,9.311323928547911e-18,7.742926618548427e-17,0.13917483377413398,1.3178962672108213e-17,0.0,0.0,0.040381897067121565,0.8204432691587443,0.0
2025-05-15 04:00:00,1.4471408655442605e-17,3.111047792429379e-17,0.0,0.16079904803406472,0.0,5.710350538681303e-17,3.1087776929299746e-18,0.0,0.8392009519659357,0.0
2025-05-16 04:00:00,0.0,2.0750994469660672e-17,1.3399163198342777e-17,0.16847514137194572,0.0,1.6496424995447493e-17,1.091245698055697e-19,0.04501503598097528,0.786509822647079,0.0
2025-05-19 04:00:00,3.0440664193431976e-17,2.085474218086482e-17,0.0,0.2226844761118476,4.811812318053565e-17,7.18019250828568e-17,3.399362796282345e-17,0.02040926675259568,0.7569062571355565,3.4304564129562645e-17
2025-05-20 04:00:00,1.421266766796424e-17,4.343469858284124e-17,1.6367810328083425e-17,0.25526100411339864,3.7854076217707135e-17,2.7837570779665036e-18,1.301939297705157e-17,1.6020307418185772e-16,0.744738995886601,0.0
2025-05-21 04:00:00,5.03818953797919e-18,6.517757136066244e-17,0.0,0.25550481371603895,1.1918556601484478e-16,0.0,1.5446540948531435e-17,4.01773942284358e-16,0.7444951862839607,0.0
2025-05-22 04:00:00,1.4625097719528015e-16,1.8914841204401995e-16,0.0,0.23862878652547717,9.182907614688927e-17,2.2468236930513653e-17,5.0903479874682e-17,9.87620925116551e-17,0.7613712134745226,8.403971730401555e-17
2025-05-23 04:00:00,0.0,4.759700022449907e-18,2.8484630717271725e-16,0.2710308021944254,0.0,7.208009146466633e-17,0.0,0.0,0.7289691978055746,0.0
2025-05-27 04:00:00,0.0,0.0,2.5763336295237046e-17,0.1613507992832915,0.0,2.9436314338954506e-17,0.0,4.3817909145722635e-17,0.8386492007167086,2.9721145610082334e-17
2025-05-28 04:00:00,0.0,0.0,9.548625375207279e-17,0.2401212899054027,1.3315996336453849e-16,0.0,0.0,6.765934246865627e-18,0.7598787100945973,0.0
2025-05-29 04:00:00,0.0,4.585184624998127e-17,9.807894820620968e-17,0.2030034380615663,0.0,1.320195014701e-16,0.0,0.0,0.7969965619384338,0.0
2025-05-30 04:00:00,3.0719792850046134e-17,0.0,1.250851749520469e-16,0.18293280159138225,0.0,5.423529821390364e-17,4.096295038706014e-17,0.0,0.8170671984086179,0.0
2025-06-02 04:00:00,0.0,0.0,1.064427915568493e-16,0.20295006929721665,0.0,7.654586830287042e-17,3.628906352847294e-17,0.0,0.7970499307027834,4.157622502352533e-17
2025-06-03 04:00:00,0.0,0.0,0.0,0.16565605499984742,0.0,1.7798399964780904e-17,6.66864233537842e-17,0.0,0.8343439450001531,0.0
2025-06-04 04:00:00,7.046161248213587e-18,3.4691123855670184e-17,2.3285709542153457e-17,0.13918998557872028,0.0,3.5660715058988125e-17,2.2917931387304606e-17,0.0,0.8608100144212799,2.3650065655112842e-17
2025-06-05 04:00:00,1.3678468819725233e-18,2.4947956898204783e-17,0.0,0.14615530343549255,7.048770301085188e-17,0.0,1.0718664145868945e-17,1.1603667443640502e-16,0.8538446965645073,2.4713621680930856e-17
2025-06-06 04:00:00,3.7497419991563005e-17,2.2427164433686765e-17,0.0,0.1191653142917531,0.0,1.4078230544221325e-17,2.196243544352962e-17,1.5585539027903492e-16,0.8808346857082466,3.335347962580529e-17
2025-06-09 04:00:00,0.0,0.0,4.328529076330338e-17,0.16339877497701527,0.0,1.1092562084335082e-17,3.6054309714127324e-17,0.0,0.836601225022985,0.0
2025-06-10 04:00:00,0.0,2.2290816814542552e-17,9.721121069384627e-17,0.1765184973229895,0.0,0.0,2.3021280872399247e-17,0.0,0.8234815026770106,0.0
2025-06-11 04:00:00,0.0,0.0,3.8235718554078087e-17,0.22603612010115257,2.919917252095217e-17,1.1847869384958949e-17,0.0,3.469446951953614e-17,0.7739638798988474,8.08454946881243e-18
2025-06-12 04:00:00,4.38854183572088e-17,0.0,6.814611759557085e-17,0.20632629459376284,0.0,1.084378680387245e-16,0.0,0.0,0.7936737054062376,0.0
2025-06-13 04:00:00,1.2550743884715173e-17,1.7194572417217206e-17,0.0,0.21290534664979702,0.0,5.759565596094771e-17,0.0,0.0,0.7870946533502035,0.0
2025-06-16 04:00:00,0.0,3.607144267891739e-17,0.0,0.14160371125896512,4.977454767865832e-19,0.0,0.0,1.1128027991402141e-15,0.8583962887410339,7.582520367983848e-17
2025-06-17 04:00:00,4.3261162902983954e-17,0.0,0.0,0.13189690219653444,0.0,3.2477069219587496e-17,0.0,0.0,0.8681030978034655,0.0
2025-06-18 04:00:00,6.377099855031897e-18,2.5820220112436656e-17,9.18343565951699e-17,0.10710600306462562,0.0,6.566046931282018e-17,0.0,0.07824131363944592,0.7762157476951491,0.03843693560077913
2025-06-20 04:00:00,0.0,6.915771622115556e-17,0.0,0.12562239996041585,5.59681160466826e-17,2.5870870640718983e-17,9.649234465574118e-18,0.38128966535835884,0.4624868375236529,0.03060109715757227
2025-06-23 04:00:00,1.3302767439528922e-17,6.686794213897909e-17,0.0,0.12300587714577052,0.0,0.0,2.1098092862045918e-17,0.36846298907883573,0.4694131817463526,0.03911795202904121
2025-06-24 04:00:00,4.1738897798977364e-18,2.1182148320385428e-17,9.7038786412754e-17,0.11934255608006318,0.0,0.0,0.0,0.42833367145369144,0.4523237724662453,0.0
2025-06-25 04:00:00,2.754736466354881e-17,0.0,0.0,0.12378537780038407,0.021624189061337593,4.923595328543147e-17,6.967422187717825e-17,0.4703781255215485,0.38421230761672975,7.913028379936536e-17
2025-06-26 04:00:00,0.0,0.0,3.2629509231934055e-17,0.08147707500690585,0.05449704008283147,0.0,4.6787964519926014e-17,0.4781402557069322,0.3858856292033306,0.0
2025-06-27 04:00:00,0.0,0.0,1.294458692335109e-16,0.06549963188829208,0.07977991987029213,7.067008512386435e-17,0.0,0.5035410101673999,0.3511794380740155,2.2523596232546927e-17
2025-06-30 04:00:00,0.0,3.602913177716092e-17,7.502287674541099e-17,0.15338373330176058,0.021239918487101415,0.0,0.0,0.49619342694268576,0.3291829212684522,0.0
2025-07-01 04:00:00,0.0,0.0,1.1645916365230515e-16,0.12239516284855571,0.060093747156996176,0.0,2.2312160858051754e-16,0.4878602206969342,0.32965086929751386,0.0
